file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1029604.png	512	512	Default	75	4	37788	38118	38202	2.8201	2.4116	2.4180	0.9892	0.9978	+0.4021	-0.0064
cid22/1029604.png	512	512	Default	75	6	34998	35134	35528	2.6270	2.5370	2.6904	0.9851	0.9889	-0.0634	-0.1534
cid22/1029604.png	512	512	Default	90	0	79964	79964	80462	1.4116	1.4116	1.7922	0.9938	0.9938	-0.3806	-0.3806
cid22/1029604.png	512	512	Default	90	4	80152	79764	79438	1.2987	1.2994	1.2674	1.0090	1.0041	+0.0312	+0.0320
cid22/1029604.png	512	512	Default	90	6	74134	74568	75306	1.3661	1.3667	1.3532	0.9844	0.9902	+0.0129	+0.0135
cid22/1029604.png	512	512	Photo	25	0	22786	22786	26204	5.5010	5.5010	6.8237	0.8696	0.8696	-1.3227	-1.3227
cid22/1029604.png	512	512	Photo	25	4	18012	18036	17836	5.3932	5.0589	5.4093	1.0099	1.0112	-0.0162	-0.3504
cid22/1029604.png	512	512	Photo	25	6	16936	17036	16956	5.0990	5.4041	5.5202	0.9988	1.0047	-0.4212	-0.1161
cid22/1029604.png	512	512	Photo	75	0	42632	42632	46916	2.8352	2.8352	3.2522	0.9087	0.9087	-0.4169	-0.4169
cid22/1029604.png	512	512	Photo	75	4	39146	38478	38582	2.7088	2.8744	2.7080	1.0146	0.9973	+0.0007	+0.1664
cid22/1029604.png	512	512	Photo	75	6	35716	35340	35860	2.8962	2.7712	2.6958	0.9960	0.9855	+0.2004	+0.0754
cid22/1029604.png	512	512	Photo	90	0	81966	81966	86038	1.4409	1.4409	1.7137	0.9527	0.9527	-0.2727	-0.2727
cid22/1029604.png	512	512	Photo	90	4	82012	81926	81856	1.4346	1.2582	1.3101	1.0019	1.0009	+0.1245	-0.0520
cid22/1029604.png	512	512	Photo	90	6	78948	77170	78108	1.4083	1.4179	1.3645	1.0108	0.9880	+0.0438	+0.0534
cid22/106399.png	512	512	Default	25	0	17268	17268	19396	4.9469	4.9469	5.2175	0.8903	0.8903	-0.2706	-0.2706
cid22/106399.png	512	512	Default	25	4	11952	12038	12014	5.0795	5.3142	4.7363	0.9948	1.0020	+0.3432	+0.5779
cid22/106399.png	512	512	Default	25	6	11040	11112	11110	5.3166	5.2198	5.1533	0.9937	1.0002	+0.1633	+0.0665
cid22/106399.png	512	512	Default	75	0	29876	29876	36302	3.6838	3.6838	2.7206	0.8230	0.8230	+0.9632	+0.9632
cid22/106399.png	512	512	Default	75	4	23842	23810	23764	3.5769	3.5049	3.7720	1.0033	1.0019	-0.1951	-0.2671
cid22/106399.png	512	512	Default	75	6	22294	22394	22466	2.8975	2.9318	2.8844	0.9923	0.9968	+0.0131	+0.0473
cid22/106399.png	512	512	Default	90	0	47762	47762	69892	2.1223	2.1223	2.1994	0.6834	0.6834	-0.0771	-0.0771
cid22/106399.png	512	512	Default	90	4	47408	47552	47364	2.0014	2.1001	2.2611	1.0009	1.0040	-0.2597	-0.1610
cid22/106399.png	512	512	Default	90	6	45528	46294	46398	2.2170	2.0693	2.2569	0.9812	0.9978	-0.0399	-0.1876
cid22/106399.png	512	512	Photo	25	0	16508	16508	19642	5.6624	5.6624	5.6505	0.8404	0.8404	+0.0119	+0.0119
cid22/106399.png	512	512	Photo	25	4	11518	11570	11508	5.3685	5.1373	5.5073	1.0009	1.0054	-0.1388	-0.3700
cid22/106399.png	512	512	Photo	25	6	10600	10608	10642	5.7559	6.5374	5.0798	0.9961	0.9968	+0.6761	+1.4576
cid22/106399.png	512	512	Photo	75	0	29778	29778	37088	2.9390	2.9390	3.1581	0.8029	0.8029	-0.2190	-0.2190
cid22/106399.png	512	512	Photo	75	4	23578	23748	23660	2.9089	2.7617	3.0338	0.9965	1.0037	-0.1250	-0.2721
cid22/106399.png	512	512	Photo	75	6	22158	22406	22498	2.7974	2.7476	2.9980	0.9849	0.9959	-0.2007	-0.2504
cid22/106399.png	512	512	Photo	90	0	47894	47894	69726	2.2270	2.2270	2.2793	0.6869	0.6869	-0.0523	-0.0523
cid22/106399.png	512	512	Photo	90	4	47394	47826	47606	2.2133	2.3032	2.0491	0.9955	1.0046	+0.1643	+0.2541
cid22/106399.png	512	512	Photo	90	6	45432	45568	45698	2.1767	2.1494	2.2450	0.9942	0.9972	-0.0683	-0.0956
cid22/1080721.png	512	512	Default	25	0	14108	14108	15272	6.5263	6.5263	6.1151	0.9238	0.9238	+0.4113	+0.4113
