corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
imagemagick	062e61dfe5ad286a.png	17	17	Photo	5	0	246	252	0.976190
imagemagick	0f6f860e54200b93.png	33	33	Photo	5	0	538	544	0.988971
imagemagick	17e8576c6737621d.png	65	65	Photo	5	0	130	140	0.928571
imagemagick	196c275bd70b20c4.png	16	16	Photo	5	0	126	132	0.954545
imagemagick	21ca18a5e5bc7e6f.png	9	9	Photo	5	0	62	62	1.000000
imagemagick	23ab90d19206c7c8.png	65	65	Photo	5	0	386	172	2.244186
imagemagick	26c0760a6b3e3a57.png	128	128	Photo	5	0	3744	3946	0.948809
imagemagick	27213a66dac130d0.png	17	17	Photo	5	0	74	74	1.000000
imagemagick	2f8f3cf9c36be351.png	64	64	Photo	5	0	102	84	1.214286
imagemagick	35b3a0d91b73d1ac.png	17	17	Photo	5	0	234	242	0.966942
imagemagick	3b00867dddc094ef.png	17	17	Photo	5	0	236	248	0.951613
imagemagick	3e0f92d9c81c539b.png	33	33	Photo	5	0	198	128	1.546875
imagemagick	40020b9d382becbf.png	16	16	Photo	5	0	46	48	0.958333
imagemagick	4446a3cf3071185f.png	47	63	Photo	5	0	858	1150	0.746087
imagemagick	51a4b465d02f9b25.png	17	17	Photo	5	0	60	70	0.857143
imagemagick	52f964b4ec7c6ac3.png	16	16	Photo	5	0	132	144	0.916667
imagemagick	551d6eddbdd51d87.png	16	16	Photo	5	0	82	94	0.872340
imagemagick	56dd0cf783f21d78.png	17	17	Photo	5	0	60	70	0.857143
imagemagick	57c71e40854e6032.png	96	96	Photo	5	0	122	94	1.297872
imagemagick	5ac66cb33cccb0b1.png	128	128	Photo	5	0	4026	4046	0.995057
imagemagick	5e0c70aa8fd63b8f.png	47	63	Photo	5	0	260	160	1.625000
imagemagick	621b73a41f5ae344.png	17	17	Photo	5	0	62	70	0.885714
imagemagick	680167d5746325a3.png	32	32	Photo	5	0	148	120	1.233333
imagemagick	6b2bb39e16550274.png	31	17	Photo	5	0	292	300	0.973333
imagemagick	6bc365fcb5eae6b1.png	16	16	Photo	5	0	126	132	0.954545
imagemagick	6da500e23379b371.png	17	17	Photo	5	0	232	244	0.950820
imagemagick	7742be090de4a70a.png	7	7	Photo	5	0	64	72	0.888889
imagemagick	78c0428e5f09bee0.png	16	16	Photo	5	0	46	48	0.958333
imagemagick	7e8bbc31c6b7d052.png	47	63	Photo	5	0	260	160	1.625000
imagemagick	842661e4d91d8301.png	32	32	Photo	5	0	350	360	0.972222
imagemagick	85cbd61a7f981081.png	7	7	Photo	5	0	64	68	0.941176
imagemagick	86724e7321cb3c9c.png	9	9	Photo	5	0	62	62	1.000000
imagemagick	876f6e3591477bc8.png	33	33	Photo	5	0	80	76	1.052632
imagemagick	8ddc3a3122bf8489.png	16	16	Photo	5	0	124	124	1.000000
imagemagick	9297b10c9cd583b2.png	23	29	Photo	5	0	338	416	0.812500
imagemagick	9a096f9351f283f9.png	128	128	Photo	5	0	3744	3946	0.948809
imagemagick	9b7004a78dcb1a04.png	23	29	Photo	5	0	332	418	0.794258
imagemagick	9c314cb380f28cad.png	47	63	Photo	5	0	78	88	0.886364
imagemagick	9cb0d0b5662a83bf.png	16	16	Photo	5	0	46	48	0.958333
imagemagick	9d6eb018e6129d7d.png	128	128	Photo	5	0	3744	3946	0.948809
imagemagick	9e60d0a4b1d2708b.png	47	63	Photo	5	0	88	80	1.100000
imagemagick	a0a55e44ae4f8001.png	64	64	Photo	5	0	272	150	1.813333
imagemagick	a510acf6bbbf523d.png	23	29	Photo	5	0	64	74	0.864865
imagemagick	a93d277108c82d67.png	47	63	Photo	5	0	858	1150	0.746087
imagemagick	aff2ea4f40406c8e.png	16	16	Photo	5	0	128	140	0.914286
imagemagick	b10555b0739859e9.png	33	33	Photo	5	0	538	544	0.988971
imagemagick	b283bb1bc851e829.png	31	17	Photo	5	0	296	300	0.986667
imagemagick	b7778bf4e941cfcc.png	33	33	Photo	5	0	506	542	0.933579
imagemagick	b7c2d942ded444f4.png	23	29	Photo	5	0	332	418	0.794258
imagemagick	bb4c75514e865208.png	23	29	Photo	5	0	76	92	0.826087
imagemagick	beca6a231ca9b5d2.png	128	128	Photo	5	0	4186	4892	0.855683
imagemagick	c29b85f8953aa33e.png	47	63	Photo	5	0	222	130	1.707692
imagemagick	c7b2056afae142b7.png	65	65	Photo	5	0	1392	1406	0.990043
imagemagick	c8173bd456ae9ed8.png	17	17	Photo	5	0	108	96	1.125000
imagemagick	cbd476975c94850a.png	23	29	Photo	5	0	338	398	0.849246
imagemagick	ccaed49ace2db42c.png	9	9	Photo	5	0	64	72	0.888889
imagemagick	ccd013ff493ee13c.png	17	17	Photo	5	0	60	70	0.857143
imagemagick	cfa61be4a2c5af4e.png	65	65	Photo	5	0	1384	1490	0.928859
imagemagick	d3764e0b31a00631.png	31	17	Photo	5	0	292	300	0.973333
imagemagick	d88de4b9e6efe211.png	128	128	Photo	5	0	700	234	2.991453
imagemagick	d8c6a79bbf189a24.png	128	128	Photo	5	0	560	206	2.718447
imagemagick	da8c2fd0f71d2fd0.png	64	64	Photo	5	0	1030	1114	0.924596
imagemagick	dc09a46c8adc4041.png	17	17	Photo	5	0	258	268	0.962687
imagemagick	dd665c15c0af32f5.png	16	16	Photo	5	0	128	128	1.000000
imagemagick	dfb0a950416c0cf8.png	128	128	Photo	5	0	4186	4892	0.855683
imagemagick	e5366019dcea77c8.png	23	29	Photo	5	0	326	418	0.779904
imagemagick	e601a54fea77a6db.png	17	17	Photo	5	0	108	96	1.125000
imagemagick	e891093dfa0dcab1.png	33	33	Photo	5	0	80	76	1.052632
imagemagick	ebc20af6b4e8df81.png	128	128	Photo	5	0	700	234	2.991453
